1340897526.77883	CMsqzD1cIpgBjGKxBh	192.168.114.10	1033	173.194.37.73	80	tcp	http	2.925095	356	3459
1340897526.24074	CBuNbj3DWMU1fT7Iga	192.168.114.10	1030	69.73.165.10	80	tcp	http	10.30386	351	7949
1340897526.55132	CNS6Qa4apYggR2m4l9	192.168.114.10	1032	69.73.165.10	80	tcp	http	10.09991	371	9799
1340897537.5266	CXlknRkdEwgzK0KKd	192.168.114.10	1049	64.94.107.18	80	tcp	http	0.034319	261	2670
1340897537.61963	CBDe1x4IrXmQn8Mqma	192.168.114.10	1053	64.94.107.19	80	tcp	http	0.002245	512	4020
1340897537.85841	Cc4XYq3rkiYvjDQdw4	192.168.114.10	1057	208.71.123.1	80	tcp	http	0.077787	366	1133
1340897537.92057	CIdaGa3Fbj4655vkV4	192.168.114.10	1060	208.71.123.1	80	tcp	http	0.062873	455	6063
1340897537.89187	CHOywW2rgduEflcR5d	192.168.114.10	1059	12.129.199.110	80	tcp	http	0.106561	326	5945
1340897538.49365	CVpDu31OUl5cwUV6Ve	192.168.114.10	1069	204.2.243.80	80	tcp	http	3.085229	345	3457
1340897538.71108	C2Gi9T34e7bDJ496Q7	192.168.114.10	1073	205.217.176.11	80	tcp	http	0.095777	308	1008
1340897539.04428	C1EWbf2E1eBtJSsUvk	192.168.114.10	1078	64.94.107.18	80	tcp	http	0.028389	378	2670
1340897539.0337	CKt67w3050WwhyvqN6	192.168.114.10	1077	205.217.176.11	80	tcp	http	0.054293	474	1008
1340897539.09016	CrTX2QGXEO3F05sWf	192.168.114.10	1080	64.94.107.19	80	tcp	http	0.001831	557	2155
1340897539.57099	CMsqzD1cIpgBjGKxBh	192.168.114.10	1086	208.71.123.1	80	tcp	http	0.04953	450	1687
1340897539.68932	CMsqzD1cIpgBjGKxBh	192.168.114.10	1090	208.71.123.1	80	tcp	http	0.192294	738	6068
1340897539.96842	CMsqzD1cIpgBjGKxBh	192.168.114.10	1095	208.71.123.1	80	tcp	http	0.151964	665	6409
1340897540.09806	CZ5KTRZDhXcIX7Yma	192.168.114.10	1097	64.215.255.123	80	tcp	http	0.10153	451	5654
1340897540.06957	CEFkgK27qWLpqHFj8	192.168.114.10	1096	208.71.123.1	80	tcp	http	0.130745	385	6062
1340897540.1673	CrXOyx4uw5yA4ptqx4	192.168.114.10	1103	208.71.123.1	80	tcp	http	0.036054	573	3417
1340897540.1854	CCNdLtn9Vgm6S4Bdc	192.168.114.10	1106	208.71.123.1	80	tcp	http	0.042924	482	2706
1340897540.20701	CyyJnr3MSjRzQ19ON2	192.168.114.10	1107	208.71.123.1	80	tcp	http	0.042478	465	2324
1340897540.12915	CZ5KTRZDhXcIX7Yma	192.168.114.10	1101	63.251.249.49	80	tcp	http	0.1496	375	3367
1340897540.23544	CjiAej37242H1oP795	192.168.114.10	1109	208.71.123.1	80	tcp	http	0.052961	522	6068
1340897540.25696	CQBqfgZHLUTZ6SCed	192.168.114.10	1110	174.129.88.246	80	tcp	http	0.197389	345	1167
1340897540.37096	C2bJmd3laAWqmqOBk9	192.168.114.10	1111	208.71.123.1	80	tcp	http	0.121011	506	6955
1340897540.49281	CZ5KTRZDhXcIX7Yma	192.168.114.10	1114	107.22.43.133	80	tcp	http	0.045652	406	8677
1340897540.74116	CbPHZ41enuVeS2KRil	192.168.114.10	1119	64.94.107.19	80	tcp	http	0.027356	492	2875
1340897540.76357	CnDOUY1RpE35JD8Ewj	192.168.114.10	1122	64.215.255.123	80	tcp	http	0.046406	401	3164
1340897540.75449	CBh4rL3UazU8p761J7	192.168.114.10	1120	50.19.205.162	80	tcp	http	0.081066	487	1525
1340897540.73974	CZ5KTRZDhXcIX7Yma	192.168.114.10	1118	184.72.178.28	80	tcp	http	0.275235	637	1427
1340897541.1585	CZ5KTRZDhXcIX7Yma	192.168.114.10	1127	184.72.178.28	80	tcp	http	0.234282	709	1073
1340897541.40806	CIhILm4wpS1MkJY2ua	192.168.114.10	1132	64.236.85.151	80	tcp	http	0.166848	462	1333
1340897535.73573	CbDnLL3lMJYT7p8zG7	192.168.114.10	1043	50.28.53.156	80	tcp	http	5.970654	262	5946
1340897541.60181	CIhILm4wpS1MkJY2ua	192.168.114.10	1134	64.236.85.151	80	tcp	http	0.685321	532	1545
